fam_age,inc,property_value,net_wealth
25,11455.0,11455.0,11455.0
26,12793.0,12793.0,12793.0
27,13492.0,13492.0,13492.0
28,14258.0,14258.0,14258.0
29,14995.0,14995.0,14995.0
30,15177.0,15177.0,15177.0
31,15557.0,15557.0,15557.0
32,15577.0,15577.0,15577.0
33,16322.0,16322.0,16322.0
34,16330.0,16330.0,16330.0
35,17261.0,17261.0,17261.0
36,17942.0,17942.0,17942.0
37,18287.0,18287.0,18287.0
38,18319.0,18319.0,18319.0
39,18792.0,18792.0,18792.0
40,20453.0,20453.0,20453.0
41,19996.0,19996.0,19996.0
42,20121.0,20121.0,20121.0
43,20916.0,20916.0,20916.0
44,20664.0,20664.0,20664.0
45,20051.0,20051.0,20051.0
46,19499.0,19499.0,19499.0
47,20223.0,20223.0,20223.0
48,21137.0,21137.0,21137.0
49,22918.0,22918.0,22918.0
50,22547.0,22547.0,22547.0
51,21886.0,21886.0,21886.0
52,21401.0,21401.0,21401.0
53,20105.0,20105.0,20105.0
54,19295.0,19295.0,19295.0
55,19369.0,19369.0,19369.0
56,18277.0,18277.0,18277.0
57,18493.0,18493.0,18493.0
58,18116.0,18116.0,18116.0
59,18272.0,18272.0,18272.0
60,17715.0,17715.0,17715.0
61,17545.0,17545.0,17545.0
62,18033.0,18033.0,18033.0
63,17762.0,17762.0,17762.0
64,17635.0,17635.0,17635.0
65,18252.0,18252.0,18252.0
66,18356.0,18356.0,18356.0
67,19707.0,19707.0,19707.0
68,21188.0,21188.0,21188.0
69,22707.0,22707.0,22707.0
70,22908.0,22908.0,22908.0
71,22387.0,22387.0,22387.0
72,21659.0,21659.0,21659.0
73,21841.0,21841.0,21841.0
74,20676.0,20676.0,20676.0
75,20273.0,20273.0,20273.0
