fam_age,inc,property_value,net_wealth,mortgage_loans,io_share
25,1177.0,1177.0,1177.0,1177.0,1177.0
26,1734.0,1734.0,1734.0,1734.0,1734.0
27,2391.0,2391.0,2391.0,2391.0,2391.0
28,3160.0,3160.0,3160.0,3160.0,3160.0
29,4148.0,4148.0,4148.0,4148.0,4148.0
30,4843.0,4843.0,4843.0,4843.0,4843.0
31,5617.0,5617.0,5617.0,5617.0,5617.0
32,6412.0,6412.0,6412.0,6412.0,6412.0
33,7381.0,7381.0,7381.0,7381.0,7381.0
34,8108.0,8108.0,8108.0,8108.0,8108.0
35,9101.0,9101.0,9101.0,9101.0,9101.0
36,10202.0,10202.0,10202.0,10202.0,10202.0
37,10985.0,10985.0,10985.0,10985.0,10985.0
38,11622.0,11622.0,11622.0,11622.0,11622.0
39,12259.0,12259.0,12259.0,12259.0,12259.0
40,13878.0,13878.0,13878.0,13878.0,13878.0
41,13913.0,13913.0,13913.0,13913.0,13913.0
42,14189.0,14189.0,14189.0,14189.0,14189.0
43,15180.0,15180.0,15180.0,15180.0,15180.0
44,15239.0,15239.0,15239.0,15239.0,15239.0
45,14808.0,14808.0,14808.0,14808.0,14808.0
46,14609.0,14609.0,14609.0,14609.0,14609.0
47,15046.0,15046.0,15046.0,15046.0,15046.0
48,15818.0,15818.0,15818.0,15818.0,15818.0
49,17370.0,17370.0,17370.0,17370.0,17370.0
50,17027.0,17027.0,17027.0,17027.0,17027.0
51,16535.0,16535.0,16535.0,16535.0,16535.0
52,16279.0,16279.0,16279.0,16279.0,16279.0
53,15252.0,15252.0,15252.0,15252.0,15252.0
54,14747.0,14747.0,14747.0,14747.0,14747.0
55,14765.0,14765.0,14765.0,14765.0,14765.0
56,14033.0,14033.0,14033.0,14033.0,14033.0
57,14332.0,14332.0,14332.0,14332.0,14332.0
58,14021.0,14021.0,14021.0,14021.0,14021.0
59,14139.0,14139.0,14139.0,14139.0,14139.0
60,13741.0,13741.0,13741.0,13741.0,13741.0
61,13693.0,13693.0,13693.0,13693.0,13693.0
62,14102.0,14102.0,14102.0,14102.0,14102.0
63,13828.0,13828.0,13828.0,13828.0,13828.0
64,13777.0,13777.0,13777.0,13777.0,13777.0
65,14211.0,14211.0,14211.0,14211.0,14211.0
66,14240.0,14240.0,14240.0,14240.0,14240.0
67,15362.0,15362.0,15362.0,15362.0,15362.0
68,16284.0,16284.0,16284.0,16284.0,16284.0
69,17131.0,17131.0,17131.0,17131.0,17131.0
70,16678.0,16678.0,16678.0,16678.0,16678.0
71,15662.0,15662.0,15662.0,15662.0,15662.0
72,14512.0,14512.0,14512.0,14512.0,14512.0
73,13869.0,13869.0,13869.0,13869.0,13869.0
74,12272.0,12272.0,12272.0,12272.0,12272.0
75,11468.0,11468.0,11468.0,11468.0,11468.0
