fam_age,inc,property_value,net_wealth
25,10278.0,10278.0,10278.0
26,11059.0,11059.0,11059.0
27,11101.0,11101.0,11101.0
28,11098.0,11098.0,11098.0
29,10847.0,10847.0,10847.0
30,10334.0,10334.0,10334.0
31,9940.0,9940.0,9940.0
32,9165.0,9165.0,9165.0
33,8941.0,8941.0,8941.0
34,8222.0,8222.0,8222.0
35,8160.0,8160.0,8160.0
36,7740.0,7740.0,7740.0
37,7302.0,7302.0,7302.0
38,6697.0,6697.0,6697.0
39,6533.0,6533.0,6533.0
40,6575.0,6575.0,6575.0
41,6083.0,6083.0,6083.0
42,5932.0,5932.0,5932.0
43,5736.0,5736.0,5736.0
44,5425.0,5425.0,5425.0
45,5243.0,5243.0,5243.0
46,4890.0,4890.0,4890.0
47,5177.0,5177.0,5177.0
48,5319.0,5319.0,5319.0
49,5548.0,5548.0,5548.0
50,5520.0,5520.0,5520.0
51,5351.0,5351.0,5351.0
52,5122.0,5122.0,5122.0
53,4853.0,4853.0,4853.0
54,4548.0,4548.0,4548.0
55,4604.0,4604.0,4604.0
56,4244.0,4244.0,4244.0
57,4161.0,4161.0,4161.0
58,4095.0,4095.0,4095.0
59,4133.0,4133.0,4133.0
60,3974.0,3974.0,3974.0
61,3852.0,3852.0,3852.0
62,3931.0,3931.0,3931.0
63,3934.0,3934.0,3934.0
64,3858.0,3858.0,3858.0
65,4041.0,4041.0,4041.0
66,4116.0,4116.0,4116.0
67,4345.0,4345.0,4345.0
68,4904.0,4904.0,4904.0
69,5576.0,5576.0,5576.0
70,6230.0,6230.0,6230.0
71,6725.0,6725.0,6725.0
72,7147.0,7147.0,7147.0
73,7972.0,7972.0,7972.0
74,8404.0,8404.0,8404.0
75,8805.0,8805.0,8805.0
