fam_age,inc,property_value,net_wealth
25,260972.19,145190.42657244872,5508.385508399453
26,281373.22,187674.72731831807,-17562.463462117157
27,306683.53,287466.7747751021,-33970.93757509948
28,329330.34,365878.6825503604,-30361.214739991523
29,351878.2,495180.9030944509,-15153.769379984667
30,372950.94,577704.111218184,-24078.747713992245
31,389792.34,719202.3022737094,-1287.9167363355032
32,408181.94,854136.8486300234,3754.1850423814494
33,425505.75,943079.8311802337,24417.520524658205
34,441593.5,1057955.253339505,55122.62865736836
35,457738.2,1200661.247572629,104076.76081878296
36,476599.12,1312686.781011646,82321.40782378003
37,492662.16,1458019.7644412795,130846.23528984419
38,509349.9,1617383.917685857,181526.50590093588
39,520904.62,1629910.0995480234,235623.6272966537
40,535894.2,1779923.2440975877,272106.1875564518
41,549690.4,1830601.4645781992,347869.0762536904
42,561311.06,1910972.4787629736,413222.8259641227
43,570966.2,1961107.2967841437,465007.42462086154
44,578033.4,2041314.8891182423,515617.97996829177
45,574537.2,2046882.9966901285,563339.0953059598
46,582148.75,2164719.3122655554,641886.9611057666
47,577410.7,2141294.2953551854,669749.936709362
48,587878.3,2181460.1119460566,773287.4004001704
49,588515.7,2251606.514564983,782982.7229156003
50,588794.3,2307404.392300127,879709.5465521382
51,579186.56,2306697.123820406,951368.3365127495
52,577905.4,2319326.894041445,954603.0577055826
53,571720.94,2385242.49587141,1081313.7040006872
54,564149.06,2328195.3919230406,1093517.550041994
55,561640.2,2331541.097527479,1158546.9059037056
56,561442.2,2366991.5766107733,1280043.100507638
57,552273.75,2327347.8479289506,1338984.2757786743
58,551399.94,2320115.9573249286,1379070.7956147124
59,543496.6,2314461.9596258174,1400193.2539501693
60,541258.56,2291100.893521321,1567483.5630416586
61,518742.4,2184771.6155762426,1555193.160642858
62,508846.75,2178485.945045469,1631348.166671193
63,492365.47,2194765.088525506,1788923.2969229508
64,472919.9,2179375.296495554,1831731.1559024958
65,456798.38,2173662.4549936564,1956115.5875573372
66,424883.78,2120691.4262035294,1955837.3734093877
67,413726.53,2053288.8784257325,2013899.6603761718
68,388130.3,2040374.8296687927,1996406.948389196
69,374359.25,1979322.5061968549,2004988.5593274815
70,356645.25,1873575.6358123114,1966165.7154638218
71,336265.22,1719733.618126593,1860700.011489272
72,320021.78,1630768.570950767,1850058.143344164
73,300477.88,1562560.5132068088,1787426.2613855938
74,276549.72,1379545.1250882673,1657415.7680796874
75,261116.44,1240610.5367695095,1598739.12185185
