fam_age,inc,property_value,net_wealth,mortgage_loans,io_share
25,355826.6,1413047.0147726424,324838.1732056484,1057349.6982569054,0.5691047
26,373725.94,1384615.2171760339,192041.58557829398,1151031.7592383043,0.5638173
27,400943.53,1622125.3556109066,155860.70928356485,1257499.0709931676,0.5818973
28,421792.38,1650853.878418683,182090.30939065234,1315906.5573319665,0.5880349
29,439162.0,1790076.5771218156,204417.83368794364,1380000.6773656195,0.60119283
30,458475.8,1810409.9310258885,171026.7545872421,1479821.037252325,0.61511344
31,478437.34,1991922.7730945519,223577.16004764734,1535802.430529689,0.58008313
32,494866.5,2074998.3922504482,212664.1202463531,1588703.8831827627,0.57421917
33,508675.56,2085482.862013789,220803.81754524284,1624939.3101405343,0.5588528
34,523003.03,2130785.555874953,248396.87007544216,1657413.272327192,0.5519378
35,538824.3,2277179.8477476267,334550.2173019077,1688340.6519979762,0.55451757
36,553197.56,2308589.1222222066,315510.6521492508,1722227.2803170031,0.52962226
37,566447.9,2427201.404855501,327925.17889876495,1757341.4746064472,0.5231551
38,582806.7,2549376.698338256,399488.6475597602,1758976.0945108754,0.48886544
39,590425.06,2498512.9774619834,459002.9260447469,1770065.8752158657,0.48263374
40,602774.6,2623200.0368589107,503522.1550970741,1774883.0258102063,0.4524153
41,616444.1,2630971.529196124,591887.1626714035,1778723.6585173567,0.4421358
42,629166.6,2709893.3853823235,672497.170261885,1768338.1498464288,0.4298487
43,636008.75,2702142.306952381,731278.0979898951,1752498.7101300284,0.4074309
44,643280.2,2768011.7375641023,780280.4144007498,1736482.9228597514,0.40178376
45,638448.5,2771613.382403685,846794.3794375141,1687119.740329314,0.37998098
46,645102.3,2889305.350801976,951567.040746054,1662781.800511117,0.36977956
47,640646.44,2878066.897179843,993990.5193091485,1637231.1734904612,0.35694164
48,652484.25,2915003.311809571,1108052.04287301,1619773.4835136668,0.3459788
49,650276.1,2970772.487092705,1135120.356368035,1602681.824624864,0.3428625
50,651447.06,3055444.1083685304,1241080.114067712,1587353.72386577,0.3317052
51,641004.4,3053182.537159565,1331977.3712638814,1552230.415177436,0.32538658
52,637818.5,3049076.408832297,1336080.2526816428,1540591.871775349,0.31707898
53,632400.3,3144197.5071790386,1484728.919688771,1502584.7491269973,0.30122653
54,620866.8,3046214.8292639228,1495539.8588617914,1470415.84142515,0.2973489
55,619914.3,3058558.7211655765,1587489.474143858,1452678.75702808,0.29280296
56,617499.4,3082840.8070772537,1715338.3066671442,1432743.572630941,0.28210813
57,604333.5,3003045.1961868606,1772491.634640656,1399672.5774305898,0.2816488
58,602155.94,2997733.4486055495,1814830.7807391966,1385841.1032056548,0.28329226
59,595898.06,2991007.0674222317,1866073.0212748335,1369047.1915820453,0.291153
60,591323.06,2953704.4122502147,2042990.2776447528,1329088.3443738136,0.28276363
61,566153.1,2799373.2560640606,2003549.8791593756,1279082.105697448,0.29545555
62,554469.7,2785749.3296699002,2119922.593806678,1269884.0105365962,0.32082132
63,536631.1,2819165.2807629476,2296226.0368643636,1271899.2801124027,0.3439671
64,513795.6,2789669.9828481595,2342522.710617895,1244540.0178121103,0.37153316
65,497263.03,2791758.9985605674,2495335.2843853966,1225138.077629276,0.4068345
66,464202.75,2733666.5603505606,2492054.7945721815,1230622.9425807842,0.4417555
67,451628.97,2634042.698029938,2547537.668773591,1203904.985466969,0.4582922
68,427667.28,2654842.9065968054,2556084.4817519616,1217582.1533013845,0.49848887
69,417316.0,2623575.748538438,2615818.117671947,1195894.3025464274,0.5322438
70,405072.34,2573442.2991478853,2650253.7695779004,1145508.099921842,0.53755873
71,390576.34,2458158.3775379923,2578970.554307425,1138884.5534283984,0.5496468
72,380407.03,2433904.1123361816,2671990.1211996786,1143565.827437431,0.5542158
73,369362.56,2460731.4275686718,2715984.147732268,1108919.294355299,0.5638583
74,350055.6,2324272.7351959758,2662615.8817122406,1085049.6034187342,0.5523773
75,337540.5,2193137.200203023,2665336.2253068793,1061856.0439768012,0.55506873
