fam_age,inc,property_value,net_wealth
25,250110.2,0.0,-31063.684173381327
26,266892.94,0.0,-50430.37999639754
27,286381.75,0.0,-74861.70042546591
28,303002.72,0.0,-90859.26072114272
29,318501.2,0.0,-99120.12040107517
30,332869.53,0.0,-115514.39196064192
31,339700.66,0.0,-128382.61751069984
32,347535.6,0.0,-142402.98948330112
33,356852.5,0.0,-137721.99382757457
34,361312.88,0.0,-135471.8190947337
35,367303.28,0.0,-152974.57832986105
36,375635.94,0.0,-225042.5031075514
37,381658.44,0.0,-165676.4596209946
38,381877.2,0.0,-196838.84292040052
39,390451.34,0.0,-183541.66022099336
40,394731.4,0.0,-216422.98760763163
41,397010.97,0.0,-210247.58268591756
42,399004.12,0.0,-206946.37013178875
43,398837.66,0.0,-239662.87205658102
44,394746.5,0.0,-227964.4017271723
45,394032.06,0.0,-237234.21146878917
46,394081.84,0.0,-283290.1929770548
47,393633.53,0.0,-272777.8464815871
48,395746.22,0.0,-222445.41543949273
49,395154.47,0.0,-319907.77349057596
50,395533.3,0.0,-235378.64719336314
51,388161.94,0.0,-224742.74358629025
52,387495.88,0.0,-257827.097900693
53,381021.56,0.0,-186538.9375972313
54,380237.7,0.0,-210049.50980091724
55,374757.66,0.0,-217069.30175612637
56,376098.4,0.0,-159621.67159615108
57,372964.84,0.0,-154531.94230062852
58,377607.75,0.0,-112941.59789698674
59,364232.03,0.0,-194353.83639198364
60,368145.8,0.0,-76687.9934155974
61,350209.97,0.0,-38614.873273723715
62,345178.8,0.0,-121355.10767747622
63,336771.12,0.0,5755.455563048875
64,326951.22,0.0,7816.055394633191
65,314494.78,0.0,59839.63813304783
66,288853.28,0.0,100702.27201040015
67,279722.53,0.0,127191.47050251011
68,256846.52,0.0,137588.07152211733
69,242383.6,0.0,128352.76951416297
70,227002.05,0.0,134830.1510152599
71,209777.25,0.0,187903.99043084795
72,197406.88,0.0,181123.3647462432
73,180635.89,0.0,172001.1076296934
74,169209.55,0.0,189565.24517408284
75,161579.08,0.0,209558.47648872796
