fam_age,inc,property_value,net_wealth
25,195695.98,0.0,-115077.60585398035
26,208719.55,0.0,-145962.91015625
27,229970.97,0.0,-182028.265625
28,249236.0,0.0,-202553.2616132656
29,266006.62,0.0,-226732.1728770684
30,281840.3,0.0,-256752.109375
31,294786.56,0.0,-277412.328125
32,305643.3,0.0,-291232.96875
33,320375.72,0.0,-292279.05211695004
34,330310.16,0.0,-309246.37798099284
35,342864.62,0.0,-316865.09375
36,356026.0,0.0,-324574.350097216
37,366348.3,0.0,-315802.12016849284
38,377725.56,0.0,-311360.90429628803
39,388697.3,0.0,-301033.24406322674
40,397994.38,0.0,-305168.0714429785
41,407009.25,0.0,-288783.6726454607
42,409005.62,0.0,-271428.8246807917
43,415273.28,0.0,-261964.8345715471
44,415154.88,0.0,-249709.703125
45,411906.06,0.0,-221204.64221822453
46,414671.88,0.0,-203072.99724500894
47,408970.44,0.0,-202349.71875
48,411404.62,0.0,-192502.72811720148
49,411410.62,487346.3634355769,-181744.24082494408
50,411083.12,382510.2271151331,-164824.71653946768
51,404808.53,385343.6362048748,-147626.30477738706
52,404130.6,487346.3634355769,-135954.03697822243
53,397339.66,464679.0907176431,-97619.484375
54,396814.47,534777.6389842171,-85827.17146338336
55,395284.34,510013.6361535107,-72300.75472830946
56,393562.1,566681.8179483452,-52568.72687044949
57,391159.0,623349.9997431798,-14034.965087890625
58,391356.28,600682.727025246,-5250.5247802734375
59,384865.5,600682.727025246,7749.67919921875
60,379312.38,612016.3633842128,29278.748046875
61,369283.72,646017.2724611136,56397.91154425312
62,355021.56,634683.6361021467,93980.16118470486
63,339077.3,623349.9997431798,133941.37109375
64,329591.66,634683.6361021467,167394.23954054952
65,308717.62,612016.3633842128,237346.49374255363
66,284676.88,589349.0906662791,255943.29803151274
67,274660.94,578015.4543073121,283115.01234988926
68,260737.47,498679.99979454384,268628.84375
69,251222.39,288062.5034324546,243965.10827026225
70,239898.98,0.0,199325.47155133606
71,227893.77,0.0,173963.09608894237
72,211482.81,0.0,136656.75714447396
73,168305.33,0.0,90843.1953125
74,130877.79,0.0,70976.55078125
75,117584.98,0.0,62887.38671875
