fam_age,inc,property_value,net_wealth,mortgage_loans,io_share
25,353498.88,1190031.817691525,126074.06743470486,1005460.5047607503,0.8102346
26,373840.47,1246699.9994863595,61228.14190880413,1069721.100014275,0.81467116
27,399639.7,1303368.181281194,57611.15116214217,1141405.251929741,0.84369344
28,415062.0,1416704.5448708632,48921.8153528175,1204128.071503899,0.99999994
29,430982.88,1473372.7266656978,62609.234529796406,1261903.1799200957,0.99999994
30,444464.0,1530040.9084605323,46263.29214669054,1351053.1049433663,0.99999994
31,461699.88,1643377.2720502012,38947.07953856775,1400779.9497128786,0.863309
32,477858.66,1700045.4538450358,69684.47938987025,1433704.9994093135,0.8271453
33,490646.66,1756713.6356398703,70701.4950148703,1466346.0028958656,0.80072
34,504121.6,1756713.6356398703,60191.37330404739,1516178.9993753342,0.79298025
35,512992.8,1813381.8174347049,89452.6233049864,1533440.9993682222,0.8061851
36,523855.5,1870049.9992295394,99586.04507643671,1560897.8118869099,0.77005124
37,533814.8,1926718.181024374,125182.62741598836,1586286.03743145,0.7627181
38,547114.25,1983386.3628192083,163181.04052766663,1597693.99934175,0.5202843
39,549828.75,1983386.3628192083,190311.80581856554,1591939.9993441207,0.47007936
40,560409.1,2040054.5446140429,236125.1968293828,1599319.4468010804,0.0
41,568032.6,2040054.5446140429,275794.27318097325,1588212.5677356564,0.0
42,571157.9,2040054.5446140429,292442.8650807524,1567496.949814191,0.0
43,576574.4,2085389.0900499106,342557.4576228756,1549431.5955216342,0.0
44,579584.3,2096722.7264088774,392577.46165753575,1519055.999374149,0.0
45,576135.5,2096722.7264088774,424018.884637655,1480713.261389946,0.0
46,575859.5,2096722.7264088774,461204.28592788475,1448094.1806433853,0.0
47,577627.0,2096722.7264088774,521879.56383687386,1433517.083359391,0.0
48,579269.25,2096722.7264088774,546702.9656153846,1393426.999425908,0.0
49,575489.1,2068388.6355114602,581869.8058959638,1380098.2324413995,0.0
50,571549.25,2096722.7264088774,636507.1329156978,1358743.8054401975,0.0
51,565001.0,2096722.7264088774,670546.9198708632,1315589.6206079768,0.0
52,561792.5,2040054.5446140429,730941.9882814848,1303193.3660430843,0.0
53,558559.75,2040054.5446140429,811546.8968190631,1265551.8200885926,0.0
54,553068.4,2040054.5446140429,828208.084087925,1232314.9994922862,0.0
55,551420.5,2040054.5446140429,889297.5329468916,1216044.1547689897,0.0
56,546222.2,2040054.5446140429,952906.9649985465,1190102.1930346778,0.0
57,539919.6,1983386.3628192083,1005853.775005512,1159290.918392372,0.0
58,537126.3,1983386.3628192083,1081660.07288305,1152748.6875250675,0.0
59,533647.1,1983386.3628192083,1132802.7035882156,1123855.4560369714,0.0
60,529406.2,1933518.362839754,1206511.9880760286,1088471.7077565496,0.0
61,513251.53,1926718.181024374,1296815.1693572225,1051612.048886736,0.0
62,497382.25,1892717.271947473,1371998.5588769566,1036138.5838931109,0.0
63,474333.44,1892717.271947473,1454909.8741011294,1038847.9986419945,0.0
64,455703.8,1881383.6355885062,1520310.0732682804,998318.9995886926,0.0
65,434218.25,1836049.0901526387,1623249.6359994186,997221.9035891446,0.0
66,401134.47,1841715.908332122,1671831.9421778847,990729.8092418193,0.0
67,381429.5,1813381.8174347049,1708565.7723211464,967647.6286613292,0.0
68,365677.1,1813381.8174347049,1731262.1241627662,966433.0072118295,0.5430423
69,356232.94,1813381.8174347049,1747518.3629733005,958374.9905351496,0.82866377
70,343487.9,1756713.6356398703,1718985.203973446,933714.7610703094,0.8904784
71,333477.94,1756713.6356398703,1715548.2721786115,922681.7871001051,0.99999994
72,324052.12,1700045.4538450358,1709674.8629476186,933426.4329254283,0.99999994
73,314503.34,1643377.2720502012,1719010.1011682134,916803.9996222768,0.99999994
74,301086.75,1586709.0902553666,1651829.9278122429,885258.6344552734,0.99999994
75,293457.06,1530040.9084605323,1674316.5221786113,881497.359736823,0.99999994
