fam_age,inc,property_value,net_wealth
25,245234.39,0.0,-6584.49365234375
26,263655.72,0.0,-21102.7958984375
27,282973.3,0.0,-32359.0576171875
28,300645.0,0.0,-43177.0546875
29,316326.44,0.0,-48111.11328125
30,327111.56,0.0,-56780.47265625
31,333446.38,0.0,-62610.234375
32,339798.75,0.0,-66291.8359375
33,346862.78,0.0,-72896.46875
34,349176.2,0.0,-74183.4453125
35,357030.44,0.0,-76339.7578125
36,362111.0,0.0,-92528.6328125
37,365161.25,0.0,-93255.078125
38,366056.53,0.0,-93220.5546875
39,372501.4,0.0,-92545.4140625
40,376897.62,0.0,-116865.1796875
41,375833.9,0.0,-99533.65625
42,377983.16,0.0,-110436.51953125
43,374192.56,0.0,-107937.3671875
44,372918.44,0.0,-112849.3671875
45,363945.7,0.0,-110059.6328125
46,370017.2,0.0,-97939.3125
47,361648.9,0.0,-106913.15234375
48,365595.38,0.0,-109482.31640625
49,367684.8,0.0,-105308.75
50,367303.12,0.0,-112190.53515625
51,360607.97,0.0,-101450.6953125
52,358886.7,0.0,-104741.0234375
53,352886.84,0.0,-82046.2890625
54,357143.56,0.0,-86147.9296875
55,349307.38,0.0,-79872.71484375
56,350639.84,0.0,-79235.4609375
57,347134.16,0.0,-57319.431640625
58,353620.3,0.0,-54215.1484375
59,342386.4,0.0,-43165.55078125
60,337109.56,0.0,-31525.6865234375
61,332338.06,0.0,-11047.68017578125
62,323157.06,0.0,2539.43212890625
63,317584.2,0.0,6818.969482421875
64,308309.25,0.0,12428.6396484375
65,290782.72,0.0,22796.388671875
66,268308.62,0.0,24852.0048828125
67,259718.78,0.0,28794.93359375
68,246494.28,0.0,30203.705078125
69,239320.89,0.0,33470.060546875
70,230859.12,0.0,34425.224609375
71,219202.92,0.0,42023.37890625
72,204094.64,0.0,45964.87109375
73,161750.28,0.0,46098.650390625
74,131646.62,0.0,50609.78515625
75,120260.86,0.0,52786.23828125
